AirTemp,Humidity,Rainfall,TrackTemp,WindSpeed,Pressure,Year,Round Number
24.1,36.2,False,38.2,3.0,997.1,2018,1
24.0,36.3,False,38.6,1.4,997.1,2018,1
24.0,36.3,False,38.6,1.4,997.1,2018,1
23.9,37.2,False,38.7,2.3,997.0,2018,1
24.2,35.8,False,38.7,3.5,997.1,2018,1
24.2,35.8,False,38.7,3.5,997.1,2018,1
24.2,36.5,False,38.8,2.0,997.1,2018,1
24.2,36.3,False,38.9,4.1,997.0,2018,1
24.2,36.3,False,38.2,3.8,996.9,2018,1
24.1,36.6,False,37.1,3.7,997.1,2018,1
23.9,36.5,False,36.7,4.3,997.1,2018,1
23.9,36.3,False,36.8,2.9,997.1,2018,1
23.8,35.7,False,36.6,2.7,997.1,2018,1
23.5,36.3,False,36.4,2.5,997.2,2018,1
23.4,36.5,False,36.3,2.1,997.2,2018,1
23.5,36.6,False,36.2,3.5,997.0,2018,1
23.5,36.7,False,36.4,3.4,997.1,2018,1
23.8,35.6,False,37.5,2.9,997.0,2018,1
23.9,35.4,False,37.6,4.1,997.0,2018,1
23.9,35.9,False,38.0,2.0,997.0,2018,1
24.1,35.1,False,38.0,4.0,997.1,2018,1
24.0,35.1,False,38.4,3.3,997.0,2018,1
23.9,35.3,False,37.9,2.4,997.0,2018,1
24.0,35.0,False,37.1,0.9,997.0,2018,1
23.9,35.6,False,36.6,1.6,997.0,2018,1
23.9,35.6,False,36.3,1.5,997.0,2018,1
23.9,35.6,False,36.2,1.2,997.0,2018,1
23.9,34.8,False,36.2,2.2,996.9,2018,1
23.7,35.6,False,37.2,2.0,997.1,2018,1
23.9,35.2,False,37.7,2.3,997.0,2018,1
24.1,35.3,False,38.1,1.1,997.0,2018,1
24.3,34.4,False,38.4,2.4,997.0,2018,1
24.4,33.8,False,38.4,3.4,997.0,2018,1
24.2,34.0,False,38.6,3.5,996.9,2018,1
24.0,34.4,False,38.6,2.9,996.9,2018,1
24.0,35.0,False,38.6,2.9,996.8,2018,1
24.1,34.5,False,38.5,3.8,996.8,2018,1
24.1,34.5,False,38.3,3.2,996.8,2018,1
24.1,34.5,False,38.3,3.2,996.8,2018,1
24.1,34.9,False,38.4,2.4,996.9,2018,1
24.2,34.4,False,38.0,3.8,996.9,2018,1
23.9,34.9,False,37.8,2.5,996.7,2018,1
23.7,34.4,False,37.1,2.2,996.8,2018,1
23.7,34.6,False,36.7,2.5,996.8,2018,1
23.7,33.4,False,36.6,3.7,996.9,2018,1
23.9,33.8,False,37.0,2.5,996.9,2018,1
24.1,30.9,False,37.8,2.9,996.8,2018,1
24.5,28.7,False,38.3,4.0,996.8,2018,1
24.5,28.1,False,38.4,3.7,996.8,2018,1
24.6,28.1,False,38.2,3.4,996.7,2018,1
24.7,27.0,False,38.5,4.3,996.9,2018,1
24.8,26.5,False,38.4,5.2,996.8,2018,1
24.8,25.9,False,38.3,4.9,996.8,2018,1
24.6,26.0,False,38.3,5.7,996.7,2018,1
24.4,25.6,False,38.0,6.2,996.7,2018,1
24.2,26.0,False,37.6,5.3,996.8,2018,1
24.2,26.2,False,37.3,3.9,996.8,2018,1
24.2,26.4,False,37.3,4.9,996.9,2018,1
24.3,26.8,False,37.3,2.9,996.9,2018,1
24.3,27.4,False,37.4,4.0,996.8,2018,1
24.4,27.8,False,37.4,3.6,996.9,2018,1
24.5,27.2,False,37.5,4.3,997.0,2018,1
24.5,25.6,False,37.5,5.2,996.9,2018,1
24.5,26.4,False,37.5,3.5,997.0,2018,1
24.5,26.4,False,37.1,4.7,996.9,2018,1
24.4,25.7,False,37.0,4.5,997.0,2018,1
24.2,25.7,False,36.8,6.0,997.0,2018,1
24.0,25.9,False,36.7,5.4,997.0,2018,1
24.1,26.1,False,36.6,2.8,997.0,2018,1
24.2,26.1,False,36.7,6.6,997.0,2018,1
24.0,25.6,False,36.7,3.8,997.1,2018,1
24.0,26.5,False,36.5,3.8,997.1,2018,1
24.0,25.8,False,36.7,4.2,997.0,2018,1
24.0,26.0,False,36.7,4.1,997.1,2018,1
24.1,25.7,False,36.5,5.1,997.0,2018,1
24.0,25.7,False,36.3,3.7,997.0,2018,1
24.0,26.0,False,36.5,4.2,997.0,2018,1
24.0,25.6,False,36.5,5.3,997.1,2018,1
23.9,26.0,False,36.2,5.7,997.0,2018,1
23.9,26.3,False,35.7,3.0,997.2,2018,1
23.8,26.6,False,35.7,4.5,997.0,2018,1
23.8,26.6,False,35.7,4.5,997.0,2018,1
23.5,27.1,False,34.5,4.2,997.1,2018,1
23.4,27.5,False,34.3,5.0,997.0,2018,1
23.3,27.9,False,34.0,3.2,997.1,2018,1
23.3,28.1,False,34.0,3.1,997.1,2018,1
24.2,28.3,False,33.9,3.8,997.1,2018,1
24.2,28.3,False,33.6,4.2,997.0,2018,1
24.1,28.7,False,33.6,3.4,997.1,2018,1
24.1,28.7,False,33.4,4.5,997.0,2018,1
24.2,28.5,False,33.6,4.9,997.0,2018,1
24.2,29.0,False,33.6,3.4,997.0,2018,1
24.2,28.5,False,33.4,5.4,997.1,2018,1
24.1,28.8,False,33.2,4.6,997.1,2018,1
24.2,29.0,False,33.2,3.9,997.2,2018,1
24.2,28.7,False,33.0,3.6,997.2,2018,1
24.2,28.7,False,33.0,2.1,997.2,2018,1
24.2,29.1,False,33.2,3.4,997.1,2018,1
24.3,28.5,False,33.2,4.1,997.0,2018,1
24.2,28.8,False,33.1,4.8,997.1,2018,1
24.1,29.3,False,32.8,6.9,997.0,2018,1
24.0,29.8,False,32.4,5.0,997.1,2018,1
24.0,30.3,False,32.4,5.3,997.2,2018,1
23.9,30.7,False,32.5,4.8,997.2,2018,1
24.0,31.3,False,32.7,4.6,997.2,2018,1
24.1,30.6,False,32.7,4.8,997.3,2018,1
24.3,30.4,True,32.7,3.7,997.2,2018,1
24.3,30.9,True,32.6,4.2,997.2,2018,1
24.3,30.9,True,32.6,4.2,997.2,2018,1
24.3,30.9,True,32.6,4.2,997.2,2018,1
24.3,30.9,True,32.6,4.2,997.2,2018,1
28.0,46.4,False,33.5,1.5,1009.2,2018,2
28.1,46.4,False,33.5,1.6,1009.3,2018,2
28.0,46.2,False,33.3,1.6,1009.2,2018,2
28.1,46.4,False,33.3,1.5,1009.2,2018,2
28.0,46.6,False,33.3,1.5,1009.2,2018,2
28.0,46.5,False,33.1,1.2,1009.3,2018,2
28.0,46.5,False,33.1,1.2,1009.3,2018,2
28.0,46.5,False,33.1,1.2,1009.3,2018,2
28.1,45.9,False,33.2,1.6,1009.3,2018,2
28.1,45.9,False,33.2,1.0,1009.2,2018,2
28.1,45.7,False,33.3,1.0,1009.3,2018,2
28.2,45.3,False,33.3,0.9,1009.3,2018,2
28.2,45.3,False,33.3,0.9,1009.3,2018,2
28.3,45.1,False,33.3,0.6,1009.3,2018,2
28.3,45.1,False,33.3,0.6,1009.3,2018,2
28.3,44.7,False,33.3,0.8,1009.2,2018,2
28.2,44.9,False,33.0,1.1,1009.3,2018,2
28.2,45.0,False,32.9,1.3,1009.4,2018,2
28.2,44.9,False,33.1,1.3,1009.3,2018,2
28.2,44.9,False,33.1,1.3,1009.3,2018,2
28.2,45.0,False,32.8,0.9,1009.3,2018,2
28.2,45.0,False,32.8,0.9,1009.3,2018,2
28.1,45.0,False,32.8,1.3,1009.3,2018,2
28.1,45.0,False,32.8,1.3,1009.3,2018,2
28.1,44.6,False,32.8,0.7,1009.4,2018,2
28.1,44.9,False,32.7,1.0,1009.4,2018,2
28.2,44.7,False,32.7,1.6,1009.4,2018,2
28.2,44.7,False,32.7,1.6,1009.4,2018,2
28.2,44.8,False,32.8,1.0,1009.4,2018,2
28.2,44.8,False,32.8,1.0,1009.4,2018,2
28.2,44.8,False,32.8,0.9,1009.3,2018,2
28.2,45.0,False,32.8,0.9,1009.4,2018,2
28.1,45.1,False,32.8,1.1,1009.3,2018,2
28.2,45.0,False,32.6,0.7,1009.4,2018,2
28.2,45.0,False,32.6,0.7,1009.4,2018,2
28.3,44.6,False,32.7,1.0,1009.4,2018,2
28.3,44.6,False,32.7,0.6,1009.4,2018,2
28.2,45.0,False,32.4,0.9,1009.4,2018,2
28.3,44.9,False,32.4,0.7,1009.5,2018,2
28.3,44.5,False,32.5,1.7,1009.5,2018,2
28.3,44.7,False,32.4,1.1,1009.5,2018,2
28.3,44.7,False,32.4,1.1,1009.5,2018,2
28.0,45.8,False,32.2,1.7,1009.5,2018,2
28.0,46.2,False,32.1,0.7,1009.5,2018,2
28.1,46.4,False,32.2,0.9,1009.5,2018,2
28.1,46.2,False,32.2,1.2,1009.4,2018,2
28.2,46.3,False,32.3,1.0,1009.5,2018,2
28.1,46.4,False,32.2,0.7,1009.4,2018,2
28.2,46.2,False,32.2,1.4,1009.5,2018,2
28.2,46.2,False,32.2,1.4,1009.5,2018,2
28.1,46.6,False,32.2,0.8,1009.6,2018,2
28.1,46.4,False,32.2,0.8,1009.5,2018,2
28.0,46.6,False,32.0,0.7,1009.5,2018,2
28.1,46.4,False,32.0,0.9,1009.6,2018,2
28.1,46.4,False,32.2,0.9,1009.5,2018,2
28.1,46.7,False,32.0,0.9,1009.5,2018,2
28.1,46.7,False,32.0,0.9,1009.5,2018,2
28.0,47.1,False,31.9,0.5,1009.5,2018,2
28.0,47.3,False,31.9,1.0,1009.5,2018,2
27.9,47.2,False,31.8,0.8,1009.5,2018,2
27.9,46.8,False,31.8,1.0,1009.5,2018,2
27.9,46.4,False,31.9,0.6,1009.5,2018,2
27.9,46.4,False,31.9,0.6,1009.5,2018,2
27.9,46.4,False,31.9,0.6,1009.5,2018,2
27.9,46.7,False,31.9,1.2,1009.6,2018,2
27.9,46.7,False,31.9,1.2,1009.6,2018,2
27.9,46.8,False,31.7,1.6,1009.5,2018,2
27.9,46.7,False,31.8,1.3,1009.6,2018,2
27.9,46.7,False,31.8,1.3,1009.6,2018,2
