constructorId,points,position
1,14.0,1
2,8.0,3
3,9.0,2
4,5.0,4
5,2.0,5
6,1.0,6
1,24.0,1
2,19.0,2
3,9.0,4
4,6.0,5
5,2.0,8
6,11.0,3
7,5.0,6
9,2.0,7
11,0.0,9
10,0.0,10
8,0.0,11
1,28.0,3
2,30.0,1
3,10.0,4
4,6.0,6
5,2.0,8
6,29.0,2
7,8.0,5
9,4.0,7
11,0.0,9
10,0.0,10
8,0.0,11
1,34.0,3
2,35.0,2
3,12.0,4
4,6.0,7
5,2.0,9
6,47.0,1
7,9.0,5
9,8.0,6
11,3.0,8
10,0.0,10
8,0.0,11
1,42.0,3
2,44.0,2
3,13.0,4
4,9.0,7
5,2.0,9
6,63.0,1
7,9.0,6
9,10.0,5
11,3.0,8
10,0.0,10
8,0.0,11
1,53.0,2
2,52.0,3
3,15.0,4
4,9.0,7
5,6.0,8
6,69.0,1
7,9.0,6
9,15.0,5
11,6.0,9
10,0.0,10
8,0.0,11
1,53.0,3
2,70.0,2
3,15.0,6
4,9.0,7
5,7.0,9
6,73.0,1
7,17.0,5
9,21.0,4
11,8.0,8
10,0.0,10
8,0.0,11
1,58.0,3
2,74.0,2
3,15.0,6
4,12.0,7
5,7.0,9
6,91.0,1
7,23.0,5
9,24.0,4
11,8.0,8
10,0.0,10
8,0.0,11
1,72.0,3
2,82.0,2
3,16.0,6
4,15.0,7
5,7.0,9
6,96.0,1
7,25.0,4
9,24.0,5
11,14.0,8
10,0.0,10
8,0.0,11
1,86.0,3
2,89.0,2
3,16.0,7
4,23.0,6
5,8.0,9
6,105.0,1
7,25.0,4
9,24.0,5
11,14.0,8
10,0.0,10
8,0.0,11
1,100.0,2
2,90.0,3
3,16.0,7
4,31.0,5
5,8.0,9
6,111.0,1
7,35.0,4
9,24.0,6
11,14.0,8
10,0.0,10
8,0.0,11
1,113.0,2
2,96.0,3
3,17.0,7
4,31.0,5
5,11.0,9
6,121.0,1
7,41.0,4
9,24.0,6
11,14.0,8
10,0.0,10
8,0.0,11
1,119.0,2
2,107.0,3
3,17.0,7
4,36.0,5
5,17.0,8
6,131.0,1
7,41.0,4
9,25.0,6
11,14.0,9
10,0.0,10
8,0.0,11
1,129.0,2
2,117.0,3
3,17.0,8
4,41.0,5
5,27.0,6
6,134.0,1
7,41.0,4
9,26.0,7
11,14.0,9
10,0.0,10
8,0.0,11
1,135.0,1
2,120.0,3
3,26.0,8
4,51.0,4
5,31.0,6
6,134.0,2
7,46.0,5
9,28.0,7
11,14.0,9
10,0.0,10
8,0.0,11
1,135.0,2
2,128.0,3
3,26.0,8
4,66.0,4
5,34.0,6
6,142.0,1
7,50.0,5
9,29.0,7
11,14.0,9
10,0.0,10
8,0.0,11
8,0.0,11
10,0.0,10
11,14.0,9
9,29.0,7
7,52.0,5
6,156.0,1
5,34.0,6
4,72.0,4
3,26.0,8
2,135.0,3
1,145.0,2
1,151.0,2
2,135.0,3
3,26.0,8
4,80.0,4
5,39.0,6
6,172.0,1
7,56.0,5
9,29.0,7
11,14.0,9
10,0.0,10
8,0.0,11
5,0.0,9
9,0.0,8
8,0.0,7
