raceId,driverId,points,position,wins
18,1,10.0,1,1
18,2,8.0,2,0
18,3,6.0,3,0
18,4,5.0,4,0
18,5,4.0,5,0
18,6,3.0,6,0
18,7,2.0,7,0
18,8,1.0,8,0
19,1,14.0,1,1
19,2,11.0,3,0
19,3,6.0,6,0
19,4,6.0,7,0
19,5,10.0,4,0
19,6,3.0,9,0
19,7,2.0,10,0
19,8,11.0,2,1
19,9,8.0,5,0
19,15,5.0,8,0
19,17,2.0,11,0
19,14,0.0,12,0
19,18,0.0,13,0
19,12,0.0,14,0
19,21,0.0,15,0
19,22,0.0,16,0
19,19,0.0,17,0
19,11,0.0,18,0
20,1,14.0,3,1
20,2,16.0,2,0
20,3,7.0,8,0
20,4,6.0,9,0
20,5,14.0,5,0
20,6,3.0,11,0
20,7,2.0,12,0
20,8,19.0,1,1
20,9,14.0,4,0
20,15,8.0,7,0
20,17,4.0,10,0
20,14,0.0,13,0
20,18,0.0,15,0
20,12,0.0,17,0
20,21,0.0,18,0
20,22,0.0,16,0
20,19,0.0,19,0
20,11,0.0,20,0
20,13,10.0,6,1
20,10,0.0,14,0
20,16,0.0,21,0
21,1,20.0,2,1
21,2,16.0,5,0
21,3,7.0,9,0
21,4,6.0,10,0
21,5,14.0,6,0
21,6,5.0,11,0
21,7,2.0,13,0
21,8,29.0,1,2
21,9,19.0,3,0
21,15,9.0,7,0
21,17,8.0,8,0
21,14,0.0,15,0
21,18,3.0,12,0
21,12,0.0,18,0
21,21,0.0,16,0
21,22,0.0,17,0
21,19,0.0,20,0
21,11,0.0,19,0
21,13,18.0,4,1
21,10,0.0,14,0
21,16,0.0,21,0
22,1,28.0,3,1
22,2,20.0,5,0
22,3,8.0,10,0
22,4,9.0,8,0
22,5,14.0,6,0
22,6,5.0,11,0
22,7,2.0,13,0
22,8,35.0,1,2
22,9,24.0,4,0
22,15,9.0,9,0
22,17,10.0,7,0
22,14,0.0,14,0
22,18,3.0,12,0
22,12,0.0,18,0
22,21,0.0,16,0
22,22,0.0,17,0
22,19,0.0,20,0
22,11,0.0,19,0
22,13,28.0,2,2
22,10,0.0,15,0
22,16,0.0,21,0
22,20,0.0,22,0
23,1,38.0,1,2
23,2,20.0,5,0
23,3,8.0,10,0
23,4,9.0,8,0
23,5,15.0,6,0
23,6,7.0,11,0
23,7,2.0,15,0
23,8,35.0,2,2
23,9,32.0,4,0
23,15,9.0,9,0
23,17,15.0,7,0
23,14,0.0,16,0
23,18,3.0,13,0
23,12,0.0,19,0
23,21,0.0,18,0
23,22,3.0,14,0
23,19,0.0,21,0
23,11,0.0,20,0
23,13,34.0,3,2
23,10,0.0,17,0
23,16,0.0,22,0
23,20,4.0,12,0
24,1,38.0,2,2
24,2,28.0,5,0
24,3,8.0,10,0
24,4,9.0,9,0
24,5,15.0,6,0
24,6,7.0,11,0
24,7,2.0,17,0
24,8,35.0,4,2
24,9,42.0,1,1
24,15,12.0,8,0
24,17,15.0,7,0
24,14,6.0,12,0
24,18,3.0,16,0
24,12,0.0,19,0
24,21,0.0,18,0
24,22,5.0,15,0
24,19,0.0,21,0
24,11,0.0,20,0
24,13,38.0,3,2
24,10,5.0,13,0
24,16,0.0,22,0
24,20,5.0,14,0
25,1,38.0,4,2
25,2,28.0,5,0
25,3,8.0,10,0
25,4,10.0,9,0
25,5,20.0,6,0
25,6,7.0,11,0
25,7,2.0,18,0
25,8,43.0,3,2
25,9,46.0,2,1
25,15,18.0,7,0
25,17,18.0,8,0
25,14,6.0,12,0
25,18,3.0,16,0
25,12,2.0,17,0
25,21,0.0,19,0
25,22,5.0,15,0
25,19,0.0,21,0
25,11,0.0,20,0
25,13,48.0,1,3
25,10,5.0,13,0
25,16,0.0,22,0
25,20,5.0,14,0
26,1,48.0,1,3
26,2,36.0,5,0
26,3,8.0,11,0
26,4,13.0,9,0
26,5,24.0,6,0
26,6,8.0,12,0
26,7,2.0,17,0
26,8,48.0,3,2
26,9,46.0,4,1
26,15,20.0,7,0
26,17,18.0,8,0
26,14,6.0,13,0
26,18,3.0,16,0
26,12,2.0,18,0
26,21,0.0,19,0
26,22,11.0,10,0
26,19,0.0,21,0
26,11,0.0,20,0
26,13,48.0,2,3
26,10,5.0,14,0
26,16,0.0,22,0
26,20,5.0,15,0
27,1,58.0,1,4
27,2,41.0,5,0
27,3,8.0,12,0
27,4,13.0,9,0
27,5,28.0,6,0
27,6,8.0,13,0
27,7,2.0,18,0
27,8,51.0,3,2
27,9,48.0,4,1
27,15,20.0,7,0
27,17,18.0,8,0
27,14,6.0,14,0
27,18,3.0,17,0
27,12,10.0,11,0
27,21,0.0,19,0
27,22,11.0,10,0
27,19,0.0,22,0
27,11,0.0,20,0
27,13,54.0,2,3
27,10,5.0,16,0
27,16,0.0,21,0
27,20,6.0,15,0
28,1,62.0,1,4
28,2,41.0,5,0
28,3,8.0,13,0
28,4,18.0,8,0
28,5,38.0,6,1
28,6,8.0,14,0
28,7,2.0,18,0
28,8,57.0,2,2
28,9,49.0,4,1
28,15,22.0,7,0
28,17,18.0,9,0
28,14,6.0,15,0
28,18,3.0,17,0
28,12,13.0,11,0
28,21,0.0,19,0
28,22,11.0,12,0
28,19,0.0,22,0
28,11,0.0,20,0
28,13,54.0,3,3
28,10,13.0,10,0
28,16,0.0,21,0
28,20,6.0,16,0
29,1,70.0,1,4
29,2,41.0,6,0
29,3,9.0,13,0
29,4,18.0,8,0
29,5,43.0,5,1
29,6,8.0,15,0
29,7,2.0,18,0
29,8,57.0,3,2
29,9,55.0,4,1
29,15,26.0,7,0
29,17,18.0,9,0
29,14,6.0,16,0
29,18,3.0,17,0
29,12,13.0,11,0
29,21,0.0,19,0
29,22,11.0,12,0
29,19,0.0,22,0
29,11,0.0,20,0
29,13,64.0,2,4
29,10,15.0,10,0
29,16,0.0,21,0
29,20,9.0,14,0
30,1,76.0,1,4
30,2,49.0,5,0
30,3,9.0,14,0
30,4,23.0,8,0
30,5,43.0,6,1
30,6,8.0,15,0
30,7,4.0,17,0
30,8,57.0,4,2
30,9,58.0,3,1
30,15,26.0,7,0
30,17,19.0,9,0
30,14,6.0,16,0
30,18,3.0,18,0
30,12,13.0,11,0
30,21,0.0,19,0
30,22,11.0,13,0
30,19,0.0,22,0
30,11,0.0,21,0
30,13,74.0,2,5
30,10,15.0,10,0
30,16,0.0,20,0
30,20,13.0,12,0
31,1,78.0,1,4
31,2,53.0,5,0
31,3,9.0,14,0
31,4,28.0,7,0
31,5,51.0,6,1
31,6,8.0,15,0
31,7,4.0,17,0
31,8,57.0,4,2
31,9,64.0,3,1
31,15,26.0,8,0
31,17,20.0,10,0
31,14,6.0,16,0
31,18,3.0,18,0
