raceId,driverId,time
841,153,17:05:23
841,30,17:05:52
841,17,17:20:48
841,4,17:22:34
841,13,17:24:10
841,22,17:24:29
841,20,17:25:17
841,814,17:26:03
841,816,17:26:50
841,67,17:27:34
841,2,17:27:41
841,1,17:28:24
841,808,17:28:39
841,3,17:29:00
841,155,17:29:06
841,16,17:29:08
841,15,17:29:49
841,18,17:30:24
841,153,17:31:06
841,5,17:31:11
841,30,17:32:08
841,10,17:33:02
841,18,17:33:53
841,815,17:40:27
841,22,17:40:45
841,17,17:44:29
841,4,17:46:04
841,22,17:49:07
841,67,17:49:47
841,2,17:51:32
841,13,17:52:28
841,155,17:54:21
841,20,17:59:17
841,1,17:59:29
841,153,17:59:45
841,808,17:59:47
841,814,18:00:48
841,18,18:01:49
841,16,18:02:15
841,15,18:03:55
841,816,18:06:53
841,17,18:07:37
841,22,18:08:03
841,4,18:09:08
841,13,18:18:54
842,16,16:09:07
842,22,16:10:04
842,17,16:21:21
842,814,16:23:16
842,1,16:24:40
842,20,16:26:17
842,2,16:26:28
842,18,16:26:29
842,13,16:26:30
842,15,16:27:03
842,4,16:28:15
842,30,16:28:34
842,808,16:30:10
842,67,16:30:23
842,3,16:30:37
842,5,16:30:37
842,153,16:32:25
842,16,16:32:31
842,155,16:33:53
842,815,16:34:14
842,10,16:34:28
842,816,16:34:39
842,24,16:34:56
842,22,16:35:41
842,67,16:39:30
842,17,16:42:37
842,18,16:44:11
842,1,16:45:48
842,814,16:46:20
842,20,16:47:27
842,4,16:49:19
842,2,16:49:31
842,13,16:51:17
842,808,16:51:25
842,30,16:53:26
842,3,16:55:28
842,17,17:00:01
842,153,17:00:55
842,16,17:00:56
842,67,17:01:03
842,5,17:04:41
842,10,17:05:19
842,816,17:07:20
842,155,17:07:26
842,1,17:08:28
842,814,17:09:21
842,18,17:10:13
842,13,17:10:28
842,2,17:12:09
842,24,17:13:32
842,3,17:15:05
842,20,17:15:08
842,4,17:15:25
842,30,17:18:08
842,17,17:19:10
842,808,17:21:08
842,4,17:24:24
842,24,17:25:07
842,1,17:34:48
843,153,15:19:36
843,24,15:20:00
843,30,15:21:12
843,17,15:21:27
843,813,15:21:35
843,814,15:22:57
843,3,15:24:32
843,67,15:24:56
843,18,15:27:59
843,20,15:28:00
843,155,15:28:17
843,13,15:29:47
843,1,15:29:49
843,16,15:30:01
843,4,15:31:34
843,815,15:31:55
843,22,15:32:01
843,67,15:32:19
843,10,15:32:33
843,808,15:33:36
843,2,15:35:28
843,5,15:37:31
843,15,15:39:24
843,816,15:39:50
843,24,15:42:05
843,39,15:45:28
843,18,15:45:35
843,3,15:47:13
843,1,15:47:20
843,17,15:47:44
843,813,15:48:09
843,30,15:49:15
843,10,15:54:22
843,16,15:56:26
843,155,15:56:28
843,2,15:56:29
843,20,15:57:37
843,4,15:59:39
843,814,15:59:51
843,13,16:01:04
843,67,16:02:13
843,816,16:05:10
843,22,16:05:24
843,815,16:06:55
843,18,16:08:00
843,808,16:08:34
843,1,16:09:38
843,3,16:11:19
843,30,16:11:49
843,17,16:13:29
843,10,16:14:17
843,5,16:14:27
843,813,16:14:36
843,15,16:18:14
843,24,16:25:39
843,16,16:26:24
843,815,16:28:01
843,815,16:31:39
844,815,15:05:18
844,30,15:06:35
844,808,15:16:06
844,13,15:17:37
844,1,15:17:38
844,67,15:17:47
844,17,15:19:04
844,4,15:19:05
844,3,15:19:09
844,2,15:19:16
844,22,15:19:20
844,16,15:19:22
844,20,15:20:32
844,814,15:21:00
844,813,15:21:09
844,18,15:23:57
844,155,15:24:09
844,153,15:24:25
844,15,15:24:28
844,30,15:26:02
844,39,15:26:26
844,5,15:27:42
844,24,15:28:03
844,815,15:29:30
844,816,15:29:37
844,24,15:30:57
844,808,15:33:42
844,1,15:35:09
844,17,15:36:27
844,3,15:38:24
844,2,15:38:25
844,4,15:39:35
844,13,15:39:58
844,67,15:40:07
844,155,15:40:15
844,22,15:41:43
844,814,15:41:50
844,20,15:42:31
844,16,15:43:21
844,813,15:43:41
844,15,15:43:47
844,18,15:44:37
844,39,15:47:59
844,153,15:49:46
844,30,15:51:13
844,5,15:53:27
844,814,15:54:38
844,815,15:54:42
844,3,15:55:49
844,1,15:57:04
844,816,15:57:20
844,808,15:57:21
844,13,15:57:22
844,17,15:58:20
844,4,15:59:49
844,2,16:00:31
844,24,16:02:57
844,155,16:03:58
844,18,16:05:05
844,153,16:05:31
844,20,16:05:46
844,15,16:06:10
844,67,16:06:48
844,22,16:07:01
844,16,16:07:05
844,24,16:07:22
844,813,16:09:04
844,815,16:10:21
844,3,16:12:55
844,814,16:13:28
844,17,16:13:49
844,808,16:14:37
844,30,16:14:46
844,4,16:15:17
844,813,16:15:30
