raceId,driverId,constructorId,grid,positionOrder,points,statusId
18,1,1,1,1,10.0,1
18,2,2,5,2,8.0,1
18,3,3,7,3,6.0,1
18,4,4,11,4,5.0,1
18,5,1,3,5,4.0,1
18,6,3,13,6,3.0,11
18,7,5,17,7,2.0,5
18,8,6,15,8,1.0,5
18,9,2,2,9,0.0,4
18,10,7,18,10,0.0,3
18,11,8,19,11,0.0,7
18,12,4,20,12,0.0,8
18,13,6,4,13,0.0,5
18,14,9,8,14,0.0,4
18,15,7,6,15,0.0,10
18,16,10,22,16,0.0,9
18,17,9,14,17,0.0,4
18,18,11,12,18,0.0,4
18,19,8,21,19,0.0,4
18,20,5,9,20,0.0,4
18,21,10,16,21,0.0,4
18,22,11,10,22,0.0,2
19,8,6,2,1,10.0,1
19,9,2,4,2,8.0,1
19,5,1,8,3,6.0,1
19,15,7,3,4,5.0,1
19,1,1,9,5,4.0,1
19,2,2,5,6,3.0,1
19,17,9,6,7,2.0,1
19,4,4,7,8,1.0,1
19,14,9,12,9,0.0,1
19,18,11,11,10,0.0,1
19,12,4,13,11,0.0,1
19,21,10,17,12,0.0,11
19,22,11,14,13,0.0,11
19,3,3,16,14,0.0,11
19,19,8,21,15,0.0,11
19,11,8,19,16,0.0,12
19,6,3,22,17,0.0,12
19,20,5,15,18,0.0,5
19,13,6,1,19,0.0,20
19,16,10,20,20,0.0,9
19,10,7,10,21,0.0,4
19,7,5,18,22,0.0,20
20,13,6,2,1,10.0,1
20,8,6,4,2,8.0,1
20,9,2,1,3,6.0,1
20,2,2,6,4,5.0,1
20,5,1,5,5,4.0,1
20,15,7,7,6,3.0,1
20,17,9,11,7,2.0,1
20,3,3,8,8,1.0,1
20,10,7,13,9,0.0,1
20,4,4,10,10,0.0,1
20,22,11,12,11,0.0,1
20,21,10,18,12,0.0,11
20,1,1,3,13,0.0,11
20,6,3,16,14,0.0,11
20,7,5,15,15,0.0,11
20,19,8,21,16,0.0,11
20,11,8,22,17,0.0,11
20,14,9,17,18,0.0,11
20,16,10,20,19,0.0,12
20,12,4,14,20,0.0,6
