raceId,constructorId,grid,position,laps,milliseconds,fastestLapTime,points
1061,9,2,1,17,1538426,1:30.013,3
1061,131,1,2,17,1539856,1:29.937,2
1061,131,3,3,17,1545928,1:29.958,1
1061,6,4,4,17,1549704,1:30.163,0
1061,1,6,5,17,1562537,1:30.566,0
1061,1,7,6,17,1569385,1:30.640,0
1061,214,11,7,17,1581953,1:31.773,0
1061,117,10,8,17,1582865,1:31.687,0
1061,3,8,9,17,1585078,1:32.208,0
1061,214,13,10,17,1585821,1:32.183,0
1061,6,9,11,17,1586224,1:31.991,0
1061,213,12,12,17,1587189,1:32.072,0
1061,51,17,13,17,1589103,1:32.139,0
1061,117,15,14,17,1590605,1:32.210,0
1061,51,14,15,17,1591651,1:32.457,0
1061,213,16,16,17,1591993,1:32.270,0
1061,3,18,17,17,1593588,1:32.143,0
1061,210,19,18,17,1606639,1:32.567,0
1061,210,20,19,17,1616074,1:33.462,0
1061,9,5,\N,16,\N,1:31.465,0
1065,131,1,1,18,1674078,1:23.540,3
1065,9,3,2,18,1676403,1:23.502,2
1065,1,5,3,18,1688612,1:24.291,1
1065,1,4,4,18,1692913,1:24.554,0
1065,131,2,5,18,1694089,1:24.253,0
1065,6,8,6,18,1697520,1:24.677,0
1065,6,7,7,18,1702030,1:24.918,0
1065,51,10,8,18,1705167,1:25.126,0
1065,9,9,9,18,1705758,1:24.211,0
1065,117,12,10,18,1712749,1:25.349,0
1065,214,13,11,18,1713873,1:25.225,0
1065,117,11,12,18,1715255,1:25.493,0
1065,214,14,13,18,1717451,1:25.613,0
1065,3,16,14,18,1720055,1:25.711,0
1065,3,15,15,18,1720899,1:25.835,0
1065,213,17,16,18,1724055,1:25.847,0
1065,210,20,17,18,1736677,1:26.613,0
1065,51,19,18,18,1739174,1:26.772,0
1065,210,18,19,18,1740232,1:26.819,0
1065,213,6,\N,0,\N,\N,0
1071,131,2,1,24,1749559,1:12.300,3
1071,9,1,2,24,1750729,1:12.114,2
1071,6,5,3,24,1768282,1:13.167,1
1071,9,3,4,24,1769346,1:13.110,0
1071,131,20,5,24,1770431,1:12.357,0
1071,1,7,6,24,1772117,1:12.994,0
1071,6,6,7,24,1774615,1:13.140,0
1071,213,4,8,24,1783717,1:13.342,0
1071,214,10,9,24,1784191,1:13.615,0
1071,117,11,10,24,1784426,1:13.558,0
1071,1,8,11,24,1785428,1:13.463,0
1071,214,9,12,24,1786137,1:13.397,0
1071,51,14,13,24,1791439,1:13.627,0
1071,117,15,14,24,1793596,1:13.666,0
1071,213,12,15,24,1795709,1:13.747,0
1071,3,16,16,24,1796319,1:13.934,0
1071,3,17,17,24,1797298,1:14.056,0
1071,51,13,18,24,1799573,1:13.900,0
1071,210,18,19,24,1811239,1:14.387,0
1071,210,19,20,24,1817033,1:14.583,0
1077,9,1,1,21,1839567,1:19.154,8
1077,6,2,2,21,1842542,1:19.044,7
1077,9,7,3,21,1844288,1:19.012,6
1077,6,10,4,21,1857145,1:19.251,5
1077,1,3,5,21,1864128,1:20.030,4
1077,1,6,6,21,1867307,1:20.328,3
1077,51,8,7,21,1867700,1:20.219,2
1077,210,4,8,21,1870279,1:20.557,1
1077,214,5,9,21,1871845,1:20.639,0
1077,210,12,10,21,1873340,1:20.567,0
1077,131,11,11,21,1875851,1:20.756,0
1077,213,16,12,21,1877865,1:20.909,0
1077,117,9,13,21,1879744,1:21.044,0
1077,131,13,14,21,1881026,1:20.663,0
1077,117,15,15,21,1882477,1:20.948,0
1077,214,19,16,21,1883084,1:20.995,0
1077,213,17,17,21,1883361,1:20.599,0
1077,3,20,18,21,1888438,1:21.020,0
1077,3,18,19,21,1891584,1:21.437,0
1077,51,0,\N,0,\N,\N,0
1084,9,1,1,23,1590059,1:08.455,8
1084,6,2,2,23,1591734,1:08.321,7
1084,6,3,3,23,1595703,1:08.409,6
1084,131,4,4,23,1603488,1:08.979,5
1084,9,13,5,23,1608361,1:09.137,4
1084,214,5,6,23,1621091,1:09.384,3
1084,210,6,7,23,1624598,1:09.232,2
1084,131,9,8,23,1625506,1:09.516,1
1084,210,7,9,23,1627222,1:09.457,0
1084,51,12,10,23,1627616,1:09.674,0
1084,1,15,11,23,1628639,1:09.909,0
1084,1,16,12,23,1629797,1:09.996,0
1084,117,17,13,23,1638300,1:10.295,0
1084,51,18,14,23,1640812,1:10.165,0
1084,213,10,15,23,1642184,1:10.409,0
1084,3,11,16,23,1642471,1:10.367,0
1084,213,14,17,23,1644615,1:10.267,0
1084,3,19,18,23,1658753,1:10.284,0
1084,117,20,19,21,\N,1:10.317,0
1084,214,8,\N,0,\N,\N,0
1095,131,3,1,24,1811307,1:14.233,8
1095,6,5,2,24,1815302,1:14.522,7
1095,131,8,3,24,1815799,1:14.317,6
1095,9,2,4,24,1821801,1:14.507,5
1095,9,9,5,24,1823162,1:14.699,4
1095,6,10,6,24,1824440,1:15.236,3
1095,1,4,7,24,1836931,1:15.380,2
1095,210,1,8,24,1840075,1:15.110,1
1095,117,13,9,24,1841525,1:15.451,0
1095,213,12,10,24,1845477,1:15.290,0
1095,1,14,11,24,1850702,1:15.385,0
1095,210,20,12,24,1852466,1:15.771,0
1095,51,17,13,24,1853070,1:15.765,0
1095,51,18,14,24,1853645,1:15.980,0
1095,213,19,15,24,1861613,1:16.413,0
1095,117,15,16,24,1862007,1:15.425,0
1095,214,6,17,24,1863063,1:16.097,0
1095,214,7,18,24,1865292,1:14.764,0
1095,3,16,19,24,1888157,1:16.525,0
1095,3,11,\N,12,\N,1:15.998,0
1101,9,2,1,17,1997667,1:43.616,8
1101,6,1,2,17,2002130,1:43.646,7
1101,9,3,3,17,2002732,1:43.723,6
1101,131,4,4,17,2001134,1:44.409,5
1101,6,5,5,17,2008055,1:44.398,4
1101,117,8,6,17,2009280,1:44.544,3
1101,131,6,7,17,2002557,1:44.601,2
1101,117,9,8,17,2016084,1:44.855,1
1101,3,7,9,17,2019424,1:44.915,0
1101,1,11,10,17,2020518,1:44.776,0
1101,210,13,11,17,2025657,1:45.349,0
1101,51,14,12,17,2032269,1:45.766,0
1101,214,17,13,17,2034585,1:45.883,0
1101,213,18,14,17,2039293,1:45.768,0
1101,210,12,15,17,2046254,1:45.971,0
1101,51,15,16,17,2047584,1:46.277,0
1101,1,10,17,17,2048771,1:44.484,0
1101,214,0,18,17,2058288,1:45.090,0
1101,213,16,\N,2,\N,\N,0
1101,3,0,\N,0,\N,\N,0
1107,9,1,1,24,1826730,1:14.292,8
1107,9,2,2,24,1847778,1:15.492,7
1107,6,5,3,24,1849818,1:15.457,6
1107,117,7,4,24,1856433,1:15.531,5
1107,117,6,5,24,1856839,1:14.978,4
1107,210,4,6,24,1858027,1:10.180,3
1107,214,8,7,24,1863332,1:15.512,2
1107,131,15,8,24,1863341,1:10.385,1
1107,1,3,9,24,1865338,1:15.627,0
1107,131,18,10,24,1873105,1:10.775,0
1107,1,17,11,24,1876537,1:10.274,0
1107,6,9,12,24,1877519,1:10.686,0
1107,3,11,13,24,1879578,1:11.635,0
1107,210,10,14,24,1883323,1:10.539,0
1107,214,12,15,24,1884382,1:16.109,0
1107,213,13,16,24,1891552,1:11.363,0
